start_task.keys,start_task.rt,charRating.keys,charRating.rt,amp_loop.thisRepN,amp_loop.thisTrialN,amp_loop.thisN,amp_loop.thisIndex,amp_loop.ran,stimPath,stimID,charPath,charID,noiseID,generatorPol,ciGroup,ciLevel,prolificID,date,expName,psychopyVersion,OS,frameRate
,,2,1.5665,0,20,20,20,1,cis/conservative - ingroup/base_idNo_746809_autoscaled.jpg,stim021,chinese characters/Slide21.jpeg,char021,noise_pattern.jpg,conservative,ingroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,3,1.1351,0,21,21,13,1,cis/conservative - ingroup/base_idNo_505940_autoscaled.jpg,stim014,chinese characters/Slide14.jpeg,char014,noise_pattern.jpg,conservative,ingroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,2,0.7869,0,22,22,89,1,cis/liberal - outgroup/base_idNo_535284_autoscaled.jpg,stim090,chinese characters/Slide90.jpeg,char090,noise_pattern.jpg,liberal,outgroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,3,0.8183,0,23,23,26,1,cis/conservative - outgroup/base_idNo_126568_autoscaled.jpg,stim027,chinese characters/Slide27.jpeg,char027,noise_pattern.jpg,conservative,outgroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,3,0.9721,0,24,24,85,1,cis/liberal - outgroup/base_idNo_462266_autoscaled.jpg,stim086,chinese characters/Slide86.jpeg,char086,noise_pattern.jpg,liberal,outgroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,2,1.3716,0,25,25,68,1,cis/liberal - ingroup/base_idNo_806540_autoscaled.jpg,stim069,chinese characters/Slide69.jpeg,char069,noise_pattern.jpg,liberal,ingroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,1,1.2564,0,26,26,87,1,cis/liberal - outgroup/base_idNo_506265_autoscaled.jpg,stim088,chinese characters/Slide88.jpeg,char088,noise_pattern.jpg,liberal,outgroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,1,0.8589,0,27,27,57,1,cis/liberal - ingroup/base_idNo_457349_autoscaled.jpg,stim058,chinese characters/Slide58.jpeg,char058,noise_pattern.jpg,liberal,ingroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,1,1.1351,0,28,28,77,1,cis/liberal - outgroup/base_idNo_202477_autoscaled.jpg,stim078,chinese characters/Slide78.jpeg,char078,noise_pattern.jpg,liberal,outgroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,1,0.918,0,29,29,91,1,cis/liberal - outgroup/base_idNo_601743_autoscaled.jpg,stim092,chinese characters/Slide92.jpeg,char092,noise_pattern.jpg,liberal,outgroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,2,0.8002,0,30,30,58,1,cis/liberal - ingroup/base_idNo_458729_autoscaled.jpg,stim059,chinese characters/Slide59.jpeg,char059,noise_pattern.jpg,liberal,ingroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,4,1.0711,0,31,31,4,1,cis/conservative - ingroup/base_idNo_224595_autoscaled.jpg,stim005,chinese characters/Slide5.jpeg,char005,noise_pattern.jpg,conservative,ingroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,3,0.9017,0,32,32,34,1,cis/conservative - outgroup/base_idNo_426896_autoscaled.jpg,stim035,chinese characters/Slide35.jpeg,char035,noise_pattern.jpg,conservative,outgroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,2,1.0849,0,33,33,63,1,cis/liberal - ingroup/base_idNo_583297_autoscaled.jpg,stim064,chinese characters/Slide64.jpeg,char064,noise_pattern.jpg,liberal,ingroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,3,0.8351,0,34,34,27,1,cis/conservative - outgroup/base_idNo_184974_autoscaled.jpg,stim028,chinese characters/Slide28.jpeg,char028,noise_pattern.jpg,conservative,outgroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,3,1.084,0,35,35,90,1,cis/liberal - outgroup/base_idNo_551334_autoscaled.jpg,stim091,chinese characters/Slide91.jpeg,char091,noise_pattern.jpg,liberal,outgroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,2,1.201,0,36,36,76,1,cis/liberal - outgroup/base_idNo_135744_autoscaled.jpg,stim077,chinese characters/Slide77.jpeg,char077,noise_pattern.jpg,liberal,outgroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
