"idNo","condition","response","stimNum","polAffil"
"384630","conservative",-1,200,"conservative"
"244753","conservative",1,36,"conservative"
"244753","conservative",-1,173,"conservative"
"244753","conservative",1,51,"conservative"
"244753","conservative",1,225,"conservative"
"244753","conservative",-1,135,"conservative"
"244753","conservative",-1,229,"conservative"
"244753","conservative",-1,192,"conservative"
"244753","conservative",1,24,"conservative"
"244753","conservative",1,138,"conservative"
"244753","conservative",1,119,"conservative"
"244753","conservative",1,168,"conservative"
"244753","conservative",-1,78,"conservative"
"244753","conservative",1,174,"conservative"
"244753","conservative",1,37,"conservative"
"244753","conservative",1,250,"conservative"
"244753","conservative",-1,194,"conservative"
"244753","conservative",1,195,"conservative"
"244753","conservative",1,39,"conservative"
"244753","conservative",-1,239,"conservative"
"244753","conservative",1,196,"conservative"
"244753","conservative",1,207,"conservative"
"244753","conservative",1,224,"conservative"
"244753","conservative",1,88,"conservative"
"244753","conservative",-1,120,"conservative"
"244753","conservative",1,83,"conservative"
"244753","conservative",1,18,"conservative"
"244753","conservative",1,87,"conservative"
"244753","conservative",1,144,"conservative"
"244753","conservative",-1,164,"conservative"
"244753","conservative",-1,5,"conservative"
"244753","conservative",1,186,"conservative"
"244753","conservative",1,102,"conservative"
"244753","conservative",-1,157,"conservative"
"244753","conservative",1,90,"conservative"
"244753","conservative",-1,216,"conservative"
"244753","conservative",-1,56,"conservative"
"244753","conservative",-1,220,"conservative"
"244753","conservative",-1,75,"conservative"
"244753","conservative",1,129,"conservative"
"244753","conservative",1,228,"conservative"
"244753","conservative",-1,101,"conservative"
"244753","conservative",-1,114,"conservative"
"244753","conservative",-1,96,"conservative"
"244753","conservative",1,158,"conservative"
"244753","conservative",1,7,"conservative"
"244753","conservative",1,137,"conservative"
"244753","conservative",1,60,"conservative"
"244753","conservative",-1,209,"conservative"
"244753","conservative",-1,27,"conservative"
"244753","conservative",-1,226,"conservative"
"244753","conservative",-1,99,"conservative"
"244753","conservative",-1,26,"conservative"
"244753","conservative",-1,12,"conservative"
"244753","conservative",1,166,"conservative"
"244753","conservative",-1,93,"conservative"
"244753","conservative",-1,147,"conservative"
"244753","conservative",1,211,"conservative"
"244753","conservative",-1,106,"conservative"
"244753","conservative",-1,108,"conservative"
